# device_serial=FLMS13217
# frame_number=222
# integration_time_us=50000
# timestamp_ns=1778614513732568000
# axis_units=nm
# value_units=counts
wavelength_nm,intensity
556.3493,2696.36
556.6908,2679.28
557.0322,2676.84
557.3736,2657.32
557.7150,2703.68
558.0563,2730.52
558.3975,2671.96
558.7387,2691.48
559.0799,2691.48
559.4210,2747.6
559.7620,2669.52
560.1030,2606.08
560.4439,2664.64
560.7848,2645.12
561.1257,2618.28
561.4665,2691.48
561.8072,2674.4
562.1479,2698.8
562.4885,2650
562.8291,2613.4
563.1696,2606.08
563.5101,2664.64
563.8505,2652.44
564.1909,2632.92
564.5312,2630.48
564.8715,2645.12
565.2117,2640.24
565.5519,2679.28
565.8920,2669.52
566.2320,2652.44
566.5720,2586.55
566.9120,2637.8
567.2519,2735.4
567.5918,2613.4
567.9316,2620.72
568.2713,2708.56
568.6110,2667.08
568.9506,2671.96
569.2902,2684.16
569.6298,2642.68
569.9693,2647.56
570.3087,2662.2
570.6481,2679.28
570.9874,2610.96
571.3267,2674.4
571.6660,2623.16
572.0051,2591.44
572.3443,2652.44
572.6833,2647.56
573.0224,2703.68
573.3613,2659.76
573.7002,2715.88
574.0391,2689.04
574.3779,2691.48
574.7167,2669.52
575.0554,2720.76
575.3941,2662.2
575.7327,2652.44
576.0712,2728.08
576.4097,2667.08
576.7482,2708.56
577.0866,2689.04
577.4249,2718.32
577.7632,2711
578.1014,2725.64
578.4396,2711
578.7778,2701.24
579.1159,2628.04
579.4539,2635.36
579.7919,2701.24
580.1298,2689.04
580.4677,2689.04
580.8055,2715.88
581.1433,2693.92
581.4810,2737.84
581.8186,2735.4
582.1563,2681.72
582.4938,2686.6
582.8313,2693.92
583.1688,2676.84
583.5062,2696.36
583.8435,2786.65
584.1808,2745.16
584.5181,2703.68
584.8553,2769.57
585.1924,2696.36
585.5295,2623.16
585.8665,2657.32
586.2035,2840.33
586.5404,2713.44
586.8773,2632.92
587.2142,2742.72
587.5509,2769.57
587.8876,2786.65
588.2243,2718.32
588.5609,2708.56
588.8975,2713.44
589.2340,2723.2
589.5705,2720.76
589.9069,2779.33
590.2432,2706.12
590.5795,2757.36
590.9158,2801.29
591.2519,2698.8
591.5881,2674.4
591.9242,2725.64
592.2602,2725.64
592.5962,2654.88
592.9321,2750.04
593.2680,2757.36
593.6038,2735.4
593.9396,2730.52
594.2753,2737.84
594.6110,2723.2
594.9466,2740.28
595.2821,2676.84
595.6176,2786.65
595.9531,2754.92
596.2885,2679.28
596.6238,2669.52
596.9591,2706.12
597.2944,2750.04
597.6296,2793.97
597.9647,2706.12
598.2998,2720.76
598.6348,2701.24
598.9698,2679.28
599.3047,2735.4
599.6396,2720.76
599.9744,2772.01
600.3092,2728.08
600.6439,2671.96
600.9785,2696.36
601.3131,2801.29
601.6477,2693.92
601.9822,2696.36
602.3166,2723.2
602.6510,2769.57
602.9854,2708.56
603.3196,2698.8
603.6539,2740.28
603.9881,2693.92
604.3222,2703.68
604.6562,2667.08
604.9903,2769.57
605.3242,2664.64
605.6581,2732.96
605.9920,2767.13
606.3258,2730.52
606.6596,2640.24
606.9933,2732.96
607.3269,2679.28
607.6605,2632.92
607.9940,2654.88
608.3275,2676.84
608.6609,2718.32
608.9943,2720.76
609.3276,2693.92
609.6609,2654.88
609.9941,2642.68
610.3273,2750.04
610.6604,2728.08
610.9935,2693.92
611.3265,2708.56
611.6594,2610.96
611.9923,2650
612.3252,2623.16
612.6579,2645.12
612.9907,2637.8
613.3234,2686.6
613.6560,2691.48
613.9886,2718.32
614.3211,2679.28
614.6535,2657.32
614.9860,2618.28
615.3183,2615.84
615.6506,2652.44
615.9829,2637.8
616.3151,2720.76
616.6472,2647.56
616.9793,2659.76
617.3113,2713.44
617.6433,2711
617.9753,2669.52
618.3071,2701.24
618.6390,2667.08
618.9707,2635.36
619.3024,2610.96
619.6341,2598.76
619.9657,2669.52
620.2973,2652.44
620.6287,2659.76
620.9602,2603.64
621.2916,2662.2
621.6229,2593.88
621.9542,2669.52
622.2854,2574.35
622.6166,2640.24
622.9477,2640.24
623.2788,2625.6
623.6098,2671.96
623.9408,2620.72
624.2717,2593.88
624.6025,2652.44
624.9333,2640.24
625.2640,2625.6
625.5947,2545.07
625.9254,2601.2
626.2559,2640.24
626.5865,2637.8
626.9169,2684.16
627.2474,2689.04
627.5777,2559.71
